Vereador,Tipo_de_Gasto,Nome_Da_Empresa,CNPJ,Valor,Mes/Ano
 ADILSON AMADEU,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,PHUTURA INOVAÇÕES GRAFICAS LTDA-ME,02.540.850/0001-08,"6.980,00",02/2018
 ADILSON AMADEU,ELABORAÇÃO/MANUTENÇAO DE SITE/HOSPEDAGEM,GENERICAPONTOCOM SERVIÇOS DE INTERNET LTDA,11.913.587/0001-46,"6.000,00",02/2018
 ADILSON AMADEU,INTERMEDIADO - CORREIOS,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,"857,70",02/2018
 ADILSON AMADEU,INTERMEDIADO - LOCAÇÃO DE VEÍCULOS,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,"2.148,45",02/2018
 ADRIANA RAMALHO,ASSINATURA DE JORNAIS E REVISTAS,EMPRESA FOLHA DA MANHÃ S.A.,60.579.703/0031-63,"527,40",02/2018
 ADRIANA RAMALHO,ASSINATURA DE JORNAIS E REVISTAS,S.A O ESTADO DE S. PAULO,61.533.949/0001-41,"89,90",02/2018
 ADRIANA RAMALHO,COMBUSTIVEL,POSTO JENNER LTDA,61.699.179/0001-01,"1.023,00",02/2018
 ADRIANA RAMALHO,CONTRATAÇAO DE PESSOA JURIDICA,LOCAWEB SERVIÇOS DE INTERNET S.A.,02.351.877/0001-52,"250,00",02/2018
 ADRIANA RAMALHO,CONTRATAÇAO DE PESSOA JURIDICA,FERNANDO IGNACIO VIEIRA -ME,08.779.025/0001-47,"7.500,00",02/2018
 ADRIANA RAMALHO,CONTRATAÇAO DE PESSOA JURIDICA,CONDE e DELL ARINGA - DESENVOLVIMENTO DE SOFTWARES LTDA - EPP,09.613.772/0001-73,"250,00",02/2018
 ADRIANA RAMALHO,ELABORAÇÃO/MANUTENÇAO DE SITE/HOSPEDAGEM,ALEXSANDRO FERREIRA AUGUSTO,15.287.788/0001-36,"4.000,00",02/2018
 ADRIANA RAMALHO,INTERMEDIADO - CORREIOS,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,"118,50",02/2018
 ADRIANA RAMALHO,INTERMEDIADO - LOCAÇÃO DE VEÍCULOS,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,"2.148,45",02/2018
 ADRIANA RAMALHO,LOCAÇÃO DE MOVEIS E EQUIPAMENTOS,ALOC LOCAÇÃO E COMERCIO DE EQUIPAMENTOS DE INFORMÁTICA LTDA.,07.071.575/0001-44,"1.126,00",02/2018
 ADRIANA RAMALHO,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,CENTER PAPEIS COMERCIAL LTDA.,06.226.820/0001-82,"637,55",02/2018
 ADRIANA RAMALHO,PROVEDOR DE INTERNET,TELEFONICA BRASIL S/A,02.558.157/0001-62,"95,70",02/2018
 ADRIANA RAMALHO,TELEFONE MOVEL,TELEFONICA BRASIL S/A,02.558.157/0001-62,"589,99",02/2018
 ALESSANDRO GUEDES,COMBUSTIVEL,AUTO POSTO GRANERO LTDA.,05.468.615/0001-60,"1.120,88",02/2018
 ALESSANDRO GUEDES,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,JOSE MS MOREIRA COMUNICAÇÃO ME,17.471.411/0001-68,"2.500,00",02/2018
 ALESSANDRO GUEDES,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,GISLAINE ARAUJO DOS SANTOS,23.204.601/0001-11,"1.500,00",02/2018
 ALESSANDRO GUEDES,CONTRATAÇAO DE PESSOA JURIDICA,WORK LINE SYSTEM INFORMÁTICA LTDA,67.002.329/0001-62,"970,00",02/2018
 ALESSANDRO GUEDES,ELABORAÇÃO/MANUTENÇAO DE SITE/HOSPEDAGEM,JOSE MS MOREIRA COMUNICAÇÃO ME,17.471.411/0001-68,"5.000,00",02/2018
 ALESSANDRO GUEDES,INTERMEDIADO - CORREIOS,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,"1.093,92",02/2018
 ALESSANDRO GUEDES,INTERMEDIADO - LOCAÇÃO DE VEÍCULOS,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,"2.148,45",02/2018
 ALESSANDRO GUEDES,LOCAÇÃO DE MOVEIS E EQUIPAMENTOS,ATTBRASIL TECNOLOGIA LOCAÇÃO E SOLUÇÕES EM INFORMATICA LTDA EPP,22.392.165/0001-99,"2.090,00",02/2018
 ALESSANDRO GUEDES,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,CENTER PAPEIS COMERCIAL LTDA.,06.226.820/0001-82,"894,05",02/2018
 ALESSANDRO GUEDES,TELEFONE FIXO,TELEFONICA BRASIL S/A,02.558.157/0001-62,"122,44",02/2018
 ALESSANDRO GUEDES,TELEFONE MOVEL,NEXTEL TELECOMUNICAÇÕES LTDA,66.970.229/0001-67,"230,71",02/2018
 ALFREDINHO,COMBUSTIVEL,TONINHO TRINTA AUTO POSTO LTDA,59.469.775/0001-53,"1.536,34",02/2018
 ALFREDINHO,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,GRAFTEC GRAFICA E EDITORA LTDA,04.059.685/0001-00,"6.500,00",02/2018
 ALFREDINHO,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,GRAFICA E EDITORA MATSUNAGA LTDA,07.462.215/0001-73,"1.322,84",02/2018
 ALFREDINHO,CONTRATAÇAO DE PESSOA JURIDICA,TECNEGOCIOS SOLUÇOES EM INFORMATICA LTDA- ME,11.521.613/0001-90,"330,00",02/2018
 ALFREDINHO,CONTRATAÇAO DE PESSOA JURIDICA,DAVI COSTA SOCIEDADE INDIVIDUAL DE ADVOCACIA,28.650.942/0001-34,"7.500,00",02/2018
 ALFREDINHO,INTERMEDIADO - CORREIOS,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,"168,62",02/2018
 ALFREDINHO,INTERMEDIADO - LOCAÇÃO DE VEÍCULOS,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,"2.148,45",02/2018
 ALFREDINHO,INTERMEDIADO - REPROGRAFIA (XEROX/ENCADERNAÇÃO),CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,"252,00",02/2018
 ALFREDINHO,LOCAÇÃO DE MOVEIS E EQUIPAMENTOS,ATTBRASIL TECNOLOGIA LOCAÇÃO E SOLUÇÕES EM INFORMATICA LTDA EPP,22.392.165/0001-99,"1.930,00",02/2018
 ALFREDINHO,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,CENTER PAPEIS COMERCIAL LTDA.,06.226.820/0001-82,"1.478,10",02/2018
 ALFREDINHO,PROVEDOR DE INTERNET,TELEFONICA BRASIL S/A,02.558.157/0001-62,"92,86",02/2018
 AMAURI SILVA,ELABORAÇÃO/MANUTENÇAO DE SITE/HOSPEDAGEM,JVF BARAH PUBLICIDADE E PROPAGANDAS LTDA - EPP,11.312.866/0001-54,"7.300,00",02/2018
 AMAURI SILVA,INTERMEDIADO - LOCAÇÃO DE VEÍCULOS,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,"2.148,45",02/2018
 ANDRÉ SANTOS,COMBUSTIVEL,AUTO POSTO GRANERO LTDA.,05.468.615/0001-60,"836,94",02/2018
 ANDRÉ SANTOS,COMBUSTIVEL,AUTO POSTO PAES DE BARROS LTDA,61.800.777/0001-25,"704,09",02/2018
 ANDRÉ SANTOS,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,MAURO LUCIO ALVES ORTENZE,19.919.969/0001-99,"444,00",02/2018
 ANDRÉ SANTOS,CONTRATAÇAO DE PESSOA JURIDICA,CONDE e DELL ARINGA - DESENVOLVIMENTO DE SOFTWARES LTDA - EPP,09.613.772/0001-73,"500,00",02/2018
 ANDRÉ SANTOS,CONTRATAÇAO DE PESSOA JURIDICA,GENERSIS RAMOS SOCIEDADE DE ADVOGADOS,27.240.997/0001-03,"7.000,00",02/2018
 ANDRÉ SANTOS,ELABORAÇÃO/MANUTENÇAO DE SITE/HOSPEDAGEM,HOMEBR SERVIÇOS DE INFORMATICA LTDA ME,11.566.094/0001-87,"5.767,00",02/2018
 ANDRÉ SANTOS,INTERMEDIADO - LOCAÇÃO DE VEÍCULOS,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,"2.148,45",02/2018
 ANDRÉ SANTOS,LOCAÇÃO DE MOVEIS E EQUIPAMENTOS,WAVE INFORMATICA LTDA EPP,11.090.241/0001-95,"440,00",02/2018
 ANDRÉ SANTOS,LOCAÇÃO DE MOVEIS E EQUIPAMENTOS,CARLOS ALBERTO DO NASCIMENTO JUNIOR,19.376.983/0001-93,"96,76",02/2018
 ANDRÉ SANTOS,LOCAÇÃO DE MOVEIS E EQUIPAMENTOS,COMTI COMUNICAÇÃO E TECNOLOGIA LTDA ME,24.751.379/0001-30,"3.000,00",02/2018
 ANDRÉ SANTOS,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,CARLOS ALBERTO DO NASCIMENTO JUNIOR,19.376.983/0001-93,"697,00",02/2018
 ANDRÉ SANTOS,TELEFONE FIXO,TELEFONICA BRASIL S/A,02.558.157/0001-62,"169,29",02/2018
 ANDRÉ SANTOS,TELEFONE MOVEL,TELEFONICA BRASIL S/A,02.558.157/0001-62,"532,24",02/2018
 ARSELINO TATTO,ASSINATURA DE JORNAIS E REVISTAS,EMPRESA FOLHA DA MANHÃ S.A.,60.579.703/0031-63,"614,70",02/2018
 ARSELINO TATTO,ASSINATURA DE JORNAIS E REVISTAS,S.A O ESTADO DE S. PAULO,61.533.949/0001-41,"97,50",02/2018
 ARSELINO TATTO,COMBUSTIVEL,POSTO DE SERVIÇOS ANTONIO PAES LTDA,62.409.305/0001-09,"1.709,30",02/2018
 ARSELINO TATTO,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,FÁBRICA SETE GRÁFICA E EDITORA LTDA - ME,00.651.238/0001-87,"3.800,00",02/2018
 ARSELINO TATTO,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,VISTAR PRESTAÇÃO DE SERVIÇOS DE DIGITAÇÃO LTDA ME,08.689.647/0001-84,"3.000,00",02/2018
 ARSELINO TATTO,ELABORAÇÃO/MANUTENÇAO DE SITE/HOSPEDAGEM,VISTAR PRESTAÇÃO DE SERVIÇOS DE DIGITAÇÃO LTDA ME,08.689.647/0001-84,"2.500,00",02/2018
 ARSELINO TATTO,INTERMEDIADO - CORREIOS,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,"159,25",02/2018
 ARSELINO TATTO,INTERMEDIADO - LOCAÇÃO DE VEÍCULOS,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,"2.148,45",02/2018
 ARSELINO TATTO,LOCAÇÃO DE MOVEIS E EQUIPAMENTOS,SINALL COM E SERV DE MÁQUINAS LTDA,69.064.053/0001-72,"1.748,41",02/2018
 ARSELINO TATTO,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,CENTER PAPEIS COMERCIAL LTDA.,06.226.820/0001-82,"1.785,30",02/2018
 ARSELINO TATTO,TELEFONE MOVEL,TELEFONICA BRASIL S/A,02.558.157/0001-62,"153,22",02/2018
 ATILIO FRANCISCO,COMBUSTIVEL,RIP POSTOS DE SERVIÇO E COM LTDA,43.720.218/0001-23,"993,30",02/2018
 ATILIO FRANCISCO,CONTRATAÇAO DE PESSOA JURIDICA,ALEXANDER SANTANNA ANTONIO SERVIÇOS E TECNOLOGIA - ME,07.983.427/0001-04,"4.000,00",02/2018
 ATILIO FRANCISCO,CONTRATAÇAO DE PESSOA JURIDICA,STYLU FENIX PRODUÇÕES AUDIOVISUAIS LTDA,11.263.684/0001-30,"4.000,00",02/2018
 ATILIO FRANCISCO,INTERMEDIADO - CORREIOS,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,"1.454,26",02/2018
 ATILIO FRANCISCO,INTERMEDIADO - LOCAÇÃO DE VEÍCULOS,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,"2.148,45",02/2018
 ATILIO FRANCISCO,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,CENTER PAPEIS COMERCIAL LTDA.,06.226.820/0001-82,"2.147,10",02/2018
 ATILIO FRANCISCO,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,K2G SUPRIMENTOS DE IMPRESSÃO E INFORMATICA EIRELLI - ME,19.367.661/0001-88,"230,00",02/2018
 ATILIO FRANCISCO,TELEFONE FIXO,TELEFONICA BRASIL S/A,02.558.157/0001-62,"161,32",02/2018
 ATILIO FRANCISCO,TELEFONE MOVEL,NEXTEL TELECOMUNICAÇÕES LTDA,66.970.229/0001-67,"104,99",02/2018
 AURELIO NOMURA,COMBUSTIVEL,POSTO PAISAGEM LTDA,60.895.653/0001-08,"1.351,08",02/2018
 AURELIO NOMURA,CONTRATAÇAO DE PESSOA JURIDICA,FERNANDO NOBUTAKA TAKAHASHI,18.411.294/0001-00,"3.850,00",02/2018
 AURELIO NOMURA,ELABORAÇÃO/MANUTENÇAO DE SITE/HOSPEDAGEM,DIGIRATI INFORMATICA SERVIÇOS E TELECOMUNICAÇÕES LTDA EPP,04.371.843/0001-55,"150,14",02/2018
 AURELIO NOMURA,INTERMEDIADO - CORREIOS,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,"563,89",02/2018
 AURELIO NOMURA,INTERMEDIADO - LOCAÇÃO DE VEÍCULOS,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,"2.148,45",02/2018
 AURELIO NOMURA,LOCAÇÃO DE MOVEIS E EQUIPAMENTOS,COMAVI LOCAÇÃO E SERVIÇOS EIRELLI EPP,17.303.742/0001-99,"569,80",02/2018
 CAIO MIRANDA,COMBUSTIVEL,AUTO POSTO NOVO CENTRO LTDA,02.646.144/0001-45,"176,69",02/2018
 CAIO MIRANDA,CONTRATAÇAO DE PESSOA JURIDICA,MOTIM CONTEUDO CRIATIVO E CONSULTORIA EM COMUNICACAO LTDA. - ME,27.012.945/0001-80,"1.400,00",02/2018
 CAIO MIRANDA,CONTRATAÇAO DE PESSOA JURIDICA,UBA COMUNICACAO E PRODUCAO AUDIOVISUAL EIRELI,29.520.766/0001-89,"6.000,00",02/2018
 CAIO MIRANDA,ELABORAÇÃO/MANUTENÇAO DE SITE/HOSPEDAGEM,GTO CONSULTORIA ASSESSORIA ESPECIALIZADA - EIRELI - EPP,23.871.071/0001-65,"3.000,00",02/2018
 CAIO MIRANDA,EVENTOS/SEMINARIOS,LHS SERVICOS PARA EVENTOS LTDA ME,09.275.436/0001-68,"1.450,00",02/2018
 CAIO MIRANDA,EVENTOS/SEMINARIOS,NRE DO BRASIL LTDA - EPP,20.071.891/0001-84,"1.324,00",02/2018
 CAIO MIRANDA,INTERMEDIADO - CORREIOS,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,"42,55",02/2018
 CAIO MIRANDA,INTERMEDIADO - LOCAÇÃO DE VEÍCULOS,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,"2.148,45",02/2018
 CAIO MIRANDA,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,K2G SUPRIMENTOS DE IMPRESSÃO E INFORMATICA EIRELLI - ME,19.367.661/0001-88,"294,50",02/2018
 CAMILO CRISTÓFARO,COMBUSTIVEL,TONICAR AUTO POSTO LTDA,61.990.750/0001-42,"1.857,63",02/2018
 CAMILO CRISTÓFARO,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,MAJU GRAF GRAFICA LTDA ME,06.226.361/0001-37,"2.230,00",02/2018
 CAMILO CRISTÓFARO,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,EDUARDO FREITAS GOMES DE PINHO,26.502.460/0001-01,"4.020,00",02/2018
 CAMILO CRISTÓFARO,CONTRATAÇAO DE PESSOA JURIDICA,INFORMATIX INFORMATICA LTDA ME,04.364.641/0001-86,"2.500,00",02/2018
 CAMILO CRISTÓFARO,CONTRATAÇAO DE PESSOA JURIDICA,WORK LINE SYSTEM INFORMÁTICA LTDA,67.002.329/0001-62,"2.300,00",02/2018
 CAMILO CRISTÓFARO,INTERMEDIADO - CORREIOS,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,"1.761,41",02/2018
 CAMILO CRISTÓFARO,LOCAÇÃO DE MOVEIS E EQUIPAMENTOS,T.S. IMPORTS EIRELI - ME,23.017.310/0001-14,"8.000,00",02/2018
 CAMILO CRISTÓFARO,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,CENTER PAPEIS COMERCIAL LTDA.,06.226.820/0001-82,"646,20",02/2018
 CAMILO CRISTÓFARO,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,JOSEFA ARENA THOMAZ ME,25.311.877/0001-24,"900,00",02/2018
 CAMILO CRISTÓFARO,TELEFONE MOVEL,CLARO S.A.,40.432.544/0001-47,"562,95",02/2018
 CLAUDINHO DE SOUZA,COMBUSTIVEL,AUTO POSTO NOVO MORRO GRANDE LTDA,43.882.281/0001-66,"302,41",02/2018
 CLAUDINHO DE SOUZA,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,ENCADERNADORA IDEAL COMERCIAL LTDA,02.079.773/0001-30,"5.640,00",02/2018
 CLAUDINHO DE SOUZA,CONTRATAÇAO DE PESSOA JURIDICA,MAZZA FC TECNOLOGIA DA INFORMACAO LTDA-ME,12.028.418/0001-96,"2.000,00",02/2018
 CLAUDINHO DE SOUZA,ELABORAÇÃO/MANUTENÇAO DE SITE/HOSPEDAGEM,FERRARI & CRINITI INFORMÁTICA LTDA,03.515.743/0001-92,"2.500,00",02/2018
 CLAUDINHO DE SOUZA,INTERMEDIADO - CORREIOS,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,"79,55",02/2018
 CLAUDINHO DE SOUZA,INTERMEDIADO - LOCAÇÃO DE VEÍCULOS,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,"2.148,45",02/2018
 CLAUDINHO DE SOUZA,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,KALUNGA COMÉRCIO E INDÚSTRIA GRÁFICA LTDA,43.283.811/0060-00,"60,50",02/2018
 CLAUDINHO DE SOUZA,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,HABILTECS DISTRIBUIÇÃO DE PEÇAS E SERVIÇOS LTDA.,96.409.172/0001-92,"309,00",02/2018
 CLAUDINHO DE SOUZA,TELEFONE FIXO,TELEFONICA BRASIL S/A,02.558.157/0001-62,"584,34",02/2018
 CLAUDINHO DE SOUZA,TELEFONE MOVEL,PORTO SEGURO TELECOMUNICAÇÕES S.A.,11.281.004/0001-01,"109,90",02/2018
 CLAUDIO FONSECA,COMBUSTIVEL,AUTO POSTO LIDER-BANDEIRAS LTDA,05.025.949/0001-60,"442,28",02/2018
 CLAUDIO FONSECA,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,BRASIL IMPRESSO EIRELI -ME,19.640.456/0001-44,"680,00",02/2018
 CLAUDIO FONSECA,CONTRATAÇAO DE PESSOA JURIDICA,REVELE DESENVOLVIMENTO DIGITAL,16.727.438/0001-06,"190,00",02/2018
 CLAUDIO FONSECA,ELABORAÇÃO/MANUTENÇAO DE SITE/HOSPEDAGEM,WEBSIDE SERVIÇOS EMPR LTDA ME,08.652.665/0001-91,"99,80",02/2018
 CLAUDIO FONSECA,INTERMEDIADO - CORREIOS,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,"61,10",02/2018
 CLAUDIO FONSECA,INTERMEDIADO - LOCAÇÃO DE VEÍCULOS,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,"2.148,45",02/2018
 CLAUDIO FONSECA,LOCAÇÃO DE MOVEIS E EQUIPAMENTOS,ALOC LOCAÇÃO E COMERCIO DE EQUIPAMENTOS DE INFORMÁTICA LTDA.,07.071.575/0001-44,"1.295,00",02/2018
 CLAUDIO FONSECA,LOCAÇÃO DE MOVEIS E EQUIPAMENTOS,K2G SUPRIMENTOS DE IMPRESSÃO E INFORMATICA EIRELLI - ME,19.367.661/0001-88,"530,00",02/2018
 CLAUDIO FONSECA,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,CENTER PAPEIS COMERCIAL LTDA.,06.226.820/0001-82,"448,60",02/2018
 CLAUDIO FONSECA,PROVEDOR DE INTERNET,TELEFONICA BRASIL S/A,02.558.157/0001-62,"101,44",02/2018
 CONTE LOPES,COMBUSTIVEL,AUTO POSTO MARANELLO II LTDA,02.297.445/0001-00,"611,55",02/2018
 CONTE LOPES,CONTRATAÇAO DE PESSOA JURIDICA,CONDE e DELL ARINGA - DESENVOLVIMENTO DE SOFTWARES LTDA - EPP,09.613.772/0001-73,"430,00",02/2018
 CONTE LOPES,INTERMEDIADO - CORREIOS,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,"2.603,24",02/2018
 CONTE LOPES,INTERMEDIADO - LOCAÇÃO DE VEÍCULOS,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,"2.148,45",02/2018
 CONTE LOPES,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,CENTER PAPEIS COMERCIAL LTDA.,06.226.820/0001-82,"367,55",02/2018
 CONTE LOPES,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,KALUNGA COM. E IND. GRAFICA LTDA,43.283.811/0101-12,"305,18",02/2018
 CONTE LOPES,PROVEDOR DE INTERNET,TELEFONICA BRASIL S/A,02.558.157/0001-62,"146,97",02/2018
 DALTON SILVANO,COMBUSTIVEL,POSTO JENNER LTDA,61.699.179/0001-01,"2.932,00",02/2018
 DALTON SILVANO,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,LUIZ BAZZO FILHO - ME,03.169.981/0001-93,"6.300,00",02/2018
 DALTON SILVANO,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,CARLOS CELSO PIERRE GUIMARAES,29.324.949/0001-29,"1.575,00",02/2018
 DALTON SILVANO,CONTRATAÇAO DE PESSOA JURIDICA,LOCAWEB IDC LTDA,06.887.099/0001-71,"384,80",02/2018
 DALTON SILVANO,ELABORAÇÃO/MANUTENÇAO DE SITE/HOSPEDAGEM,CARLOS CELSO PIERRE GUIMARAES,29.324.949/0001-29,"7.100,00",02/2018
 DALTON SILVANO,INTERMEDIADO - CORREIOS,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,"0,71",02/2018
 DALTON SILVANO,INTERMEDIADO - LOCAÇÃO DE VEÍCULOS,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,"2.148,45",02/2018
 DALTON SILVANO,LOCAÇÃO DE MOVEIS E EQUIPAMENTOS,IRISARA COMÉRCIO E SERVIÇOS LTDA.,10.376.277/0001-77,"400,00",02/2018
 DALTON SILVANO,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,K2G SUPRIMENTOS DE IMPRESSÃO E INFORMATICA EIRELLI - ME,19.367.661/0001-88,"1.040,00",02/2018
 DALTON SILVANO,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,KALUNGA COM. E IND. GRAFICA LTDA,43.283.811/0101-12,"428,80",02/2018
 DALTON SILVANO,TELEFONE FIXO,TELEFONICA BRASIL S/A,02.558.157/0001-62,"247,44",02/2018
 DALTON SILVANO,TELEFONE MOVEL,CLARO S.A.,40.432.544/0001-47,"410,54",02/2018
 DAVID SOARES,COMBUSTIVEL,CENTRO AUTOMOTIVO FENIX LTDA,00.533.599/0001-29,"1.109,74",02/2018
 DAVID SOARES,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,VISAGRAF GRAFICA E PAPELARIA LTDA ME,08.173.580/0001-20,"1.500,00",02/2018
 DAVID SOARES,INTERMEDIADO - CORREIOS,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,"53,31",02/2018
 DAVID SOARES,INTERMEDIADO - LOCAÇÃO DE VEÍCULOS,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,"2.148,45",02/2018
 DAVID SOARES,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,KALUNGA COMÉRCIO INDUSTRIA GRÁFICA LTDA,43.283.811/0139-95,"437,00",02/2018
 DAVID SOARES,TELEFONE FIXO,TELEFONICA BRASIL S/A,02.558.157/0001-62,"130,78",02/2018
 DAVID SOARES,TELEFONE MOVEL,TELEFONICA BRASIL S/A,02.558.157/0001-62,"589,99",02/2018
 DONATO,ASSINATURA DE JORNAIS E REVISTAS,EMPRESA FOLHA DA MANHÃ S.A.,60.579.703/0031-63,"23,04",02/2018
 DONATO,COMBUSTIVEL,POSTO ENERGIA AUTOMOTIVA LTDA,19.499.974/0001-90,"587,12",02/2018
 DONATO,COMBUSTIVEL,MAXICAR AUTO SERVIÇOS LTDA,46.158.986/0001-23,"353,07",02/2018
 DONATO,CONTRATAÇAO DE PESSOA JURIDICA,"IP3 CONSULTORIA DE COMUNICACAO, INOV.TECN. E INVEST.LTDA",00.638.847/0001-04,"8.000,00",02/2018
