 EDUARDO MATARAZZO SUPLICY,ASSINATURA DE JORNAIS E REVISTAS,EDITORA CONFIANÇA LTDA.,04.735.670/0001-07,"699,00",01/2017
 EDUARDO MATARAZZO SUPLICY,ASSINATURA DE JORNAIS E REVISTAS,EDITORA CAROS AMIGOS LTDA,08.254.606/0001-65,"104,40",01/2017
 EDUARDO MATARAZZO SUPLICY,ASSINATURA DE JORNAIS E REVISTAS,PALAVRA LIVRE,14.620.529/0001-12,"150,00",01/2017
 EDUARDO MATARAZZO SUPLICY,ASSINATURA DE JORNAIS E REVISTAS,INFOGLOBO COMUNICAÇÕES E PARTIC SA,60.452.752/0029-16,"805,90",01/2017
 EDUARDO MATARAZZO SUPLICY,ASSINATURA DE JORNAIS E REVISTAS,S.A O ESTADO DE S. PAULO,61.533.949/0001-41,"658,80",01/2017
 EDUARDO MATARAZZO SUPLICY,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,WBL GRAFICA E EDITORA LTDA,08.142.850/0001-36,"120,00",01/2017
 EDUARDO MATARAZZO SUPLICY,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,FELIPE SPENCER NOBREGA CABRAL,24.992.302/0001-51,"2.973,00",01/2017
 EDUARDO MATARAZZO SUPLICY,CONTRATAÇAO DE PESSOA JURIDICA,SOLARYS SOLUÇÕES DIGITAIS LTDA-ME,08.648.207/0001-89,"693,70",01/2017
 EDUARDO MATARAZZO SUPLICY,CONTRATAÇAO DE PESSOA JURIDICA,RADUAN SOCIEDADE DE ADVOGADOS,10.303.119/0001-97,"6.441,50",01/2017
 EDUARDO MATARAZZO SUPLICY,ELABORAÇÃO/MANUTENÇAO DE SITE/HOSPEDAGEM,FELIPE SPENCER NOBREGA CABRAL,24.992.302/0001-51,"4.955,00",01/2017
 EDUARDO MATARAZZO SUPLICY,INTERMEDIADO - CORREIOS,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,"69,64",01/2017
 EDUARDO MATARAZZO SUPLICY,LOCAÇÃO DE MOVEIS E EQUIPAMENTOS,AS INFORMATICA LTDA.,62.931.548/0001-02,"1.830,00",01/2017
 EDUARDO MATARAZZO SUPLICY,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,CENTER PAPEIS COMERCIAL LTDA.,06.226.820/0001-82,"1.199,90",01/2017
 EDUARDO MATARAZZO SUPLICY,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,KALUNGA COM. E IND. GRÁFICA LTDA,43.283.811/0144-52,"1.466,90",01/2017
 EDUARDO MATARAZZO SUPLICY,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,FELIPE SPENCER NOBREGA CABRAL,24.992.302/0001-51,"2.973,00",02/2017
 EDUARDO MATARAZZO SUPLICY,CONTRATAÇAO DE PESSOA JURIDICA,SOLARYS SOLUÇÕES DIGITAIS LTDA-ME,08.648.207/0001-89,"693,70",02/2017
 EDUARDO MATARAZZO SUPLICY,CONTRATAÇAO DE PESSOA JURIDICA,RADUAN SOCIEDADE DE ADVOGADOS,10.303.119/0001-97,"6.441,50",02/2017
 EDUARDO MATARAZZO SUPLICY,ELABORAÇÃO/MANUTENÇAO DE SITE/HOSPEDAGEM,FELIPE SPENCER NOBREGA CABRAL,24.992.302/0001-51,"4.955,00",02/2017
 EDUARDO MATARAZZO SUPLICY,INTERMEDIADO - CORREIOS,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,"122,43",02/2017
 EDUARDO MATARAZZO SUPLICY,LOCAÇÃO DE MOVEIS E EQUIPAMENTOS,AS INFORMATICA LTDA.,62.931.548/0001-02,"2.400,00",02/2017
 EDUARDO MATARAZZO SUPLICY,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,CENTER PAPEIS COMERCIAL LTDA.,06.226.820/0001-82,"621,95",02/2017
 EDUARDO MATARAZZO SUPLICY,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,PAPELARIA ESTADÃO LTDA.,62.067.384/0001-17,"87,00",02/2017
 EDUARDO MATARAZZO SUPLICY,TELEFONE FIXO,TELEFONICA BRASIL S/A,02.558.157/0001-62,"163,88",02/2017
 EDUARDO MATARAZZO SUPLICY,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,WBL GRAFICA E EDITORA LTDA,08.142.850/0001-36,"1.900,00",03/2017
 EDUARDO MATARAZZO SUPLICY,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,FELIPE SPENCER NOBREGA CABRAL,24.992.302/0001-51,"3.000,00",03/2017
 EDUARDO MATARAZZO SUPLICY,CONTRATAÇAO DE PESSOA JURIDICA,SOLARYS SOLUÇÕES DIGITAIS LTDA-ME,08.648.207/0001-89,"700,00",03/2017
 EDUARDO MATARAZZO SUPLICY,CONTRATAÇAO DE PESSOA JURIDICA,RADUAN SOCIEDADE DE ADVOGADOS,10.303.119/0001-97,"6.500,00",03/2017
 EDUARDO MATARAZZO SUPLICY,ELABORAÇÃO/MANUTENÇAO DE SITE/HOSPEDAGEM,FELIPE SPENCER NOBREGA CABRAL,24.992.302/0001-51,"5.000,00",03/2017
 EDUARDO MATARAZZO SUPLICY,INTERMEDIADO - CORREIOS,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,"205,05",03/2017
 EDUARDO MATARAZZO SUPLICY,LOCAÇÃO DE MOVEIS E EQUIPAMENTOS,AS INFORMATICA LTDA.,62.931.548/0001-02,"1.830,00",03/2017
 EDUARDO MATARAZZO SUPLICY,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,CENTER PAPEIS COMERCIAL LTDA.,06.226.820/0001-82,"2.217,65",03/2017
 EDUARDO MATARAZZO SUPLICY,TELEFONE FIXO,TELEFONICA BRASIL S/A,02.558.157/0001-62,"185,95",03/2017
 EDUARDO MATARAZZO SUPLICY,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,FELIPE SPENCER NOBREGA CABRAL,24.992.302/0001-51,"3.000,00",04/2017
 EDUARDO MATARAZZO SUPLICY,CONTRATAÇAO DE PESSOA JURIDICA,SOLARYS SOLUÇÕES DIGITAIS LTDA-ME,08.648.207/0001-89,"700,00",04/2017
 EDUARDO MATARAZZO SUPLICY,CONTRATAÇAO DE PESSOA JURIDICA,RADUAN SOCIEDADE DE ADVOGADOS,10.303.119/0001-97,"6.500,00",04/2017
 EDUARDO MATARAZZO SUPLICY,ELABORAÇÃO/MANUTENÇAO DE SITE/HOSPEDAGEM,FELIPE SPENCER NOBREGA CABRAL,24.992.302/0001-51,"5.000,00",04/2017
 EDUARDO MATARAZZO SUPLICY,INTERMEDIADO - CORREIOS,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,"176,03",04/2017
 EDUARDO MATARAZZO SUPLICY,LOCAÇÃO DE MOVEIS E EQUIPAMENTOS,AS INFORMATICA LTDA.,62.931.548/0001-02,"1.830,00",04/2017
 EDUARDO MATARAZZO SUPLICY,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,CENTER PAPEIS COMERCIAL LTDA.,06.226.820/0001-82,"2.298,95",04/2017
 EDUARDO MATARAZZO SUPLICY,TELEFONE FIXO,TELEFONICA BRASIL S/A,02.558.157/0001-62,"333,12",04/2017
 EDUARDO MATARAZZO SUPLICY,TELEFONE MOVEL,TELEFONICA BRASIL S/A,02.558.157/0001-62,"417,86",04/2017
 EDUARDO MATARAZZO SUPLICY,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,WBL GRAFICA E EDITORA LTDA,08.142.850/0001-36,"240,00",05/2017
 EDUARDO MATARAZZO SUPLICY,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,FELIPE SPENCER NOBREGA CABRAL,24.992.302/0001-51,"3.000,00",05/2017
 EDUARDO MATARAZZO SUPLICY,CONTRATAÇAO DE PESSOA JURIDICA,SOLARYS SOLUÇÕES DIGITAIS LTDA-ME,08.648.207/0001-89,"700,00",05/2017
 EDUARDO MATARAZZO SUPLICY,CONTRATAÇAO DE PESSOA JURIDICA,RADUAN SOCIEDADE DE ADVOGADOS,10.303.119/0001-97,"6.500,00",05/2017
 EDUARDO MATARAZZO SUPLICY,ELABORAÇÃO/MANUTENÇAO DE SITE/HOSPEDAGEM,FELIPE SPENCER NOBREGA CABRAL,24.992.302/0001-51,"5.000,00",05/2017
 EDUARDO MATARAZZO SUPLICY,INTERMEDIADO - CORREIOS,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,"96,35",05/2017
 EDUARDO MATARAZZO SUPLICY,LOCAÇÃO DE MOVEIS E EQUIPAMENTOS,AS INFORMATICA LTDA.,62.931.548/0001-02,"1.830,00",05/2017
