 DANIEL ANNENBERG,COMBUSTIVEL,M22 AUTO POSTO E CONVENIENCIA LTDA,27.746.048/0001-08,"100,00",12/2019
 DANIEL ANNENBERG,CONTRATAÇAO DE PESSOA JURIDICA,GIGOVI COMUNICAÇÃO LTDA,31.237.594/0001-82,"8.000,00",12/2019
 DANIEL ANNENBERG,ELABORAÇÃO/MANUTENÇAO DE SITE/HOSPEDAGEM,WEBSIDE SERVIÇOS EMPR LTDA ME,08.652.665/0001-91,"9.000,00",12/2019
 DANIEL ANNENBERG,INTERMEDIADO - LOCAÇÃO DE VEÍCULOS,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,"1.476,41",12/2019
 DANIEL ANNENBERG,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,K2G SUPRIMENTOS DE IMPRESSÃO E INFORMATICA EIRELLI - ME,19.367.661/0001-88,"2.071,00",12/2019
 DANIEL ANNENBERG,COMBUSTIVEL,M22 AUTO POSTO E CONVENIENCIA LTDA,27.746.048/0001-08,"115,44",01/2020
 DANIEL ANNENBERG,COMBUSTIVEL,AUTO POSTO ITALIA LTDA,61.696.027/0001-55,"662,52",01/2020
 DANIEL ANNENBERG,ELABORAÇÃO/MANUTENÇAO DE SITE/HOSPEDAGEM,WEBSIDE SERVIÇOS EMPR LTDA ME,08.652.665/0001-91,"1.090,00",01/2020
 DANIEL ANNENBERG,INTERMEDIADO - LOCAÇÃO DE VEÍCULOS,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,"2.249,41",01/2020
 DANIEL ANNENBERG,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,CENTER PAPEIS COMERCIAL LTDA.,06.226.820/0001-82,"6,95",01/2020
 DANIEL ANNENBERG,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,K2G SUPRIMENTOS DE IMPRESSÃO E INFORMATICA EIRELLI - ME,19.367.661/0001-88,"699,00",01/2020
 DANIEL ANNENBERG,COMBUSTIVEL,SERVIÇOS AUT SUPER LEGAL DA BELA VISTA LTDA,09.091.553/0001-71,"177,00",02/2020
 DANIEL ANNENBERG,COMBUSTIVEL,AUTO POSTO ITALIA LTDA,61.696.027/0001-55,"1.484,42",02/2020
 DANIEL ANNENBERG,CONTRATAÇAO DE PESSOA JURIDICA,FERREIRA ROSA SOCIEDADE DE ADVOGADOS,09.278.302/0001-09,"7.000,00",02/2020
 DANIEL ANNENBERG,CONTRATAÇAO DE PESSOA JURIDICA,DECAH LABORATÓRIO DE COLABORAÇÃO LTDA.,19.829.665/0001-30,"4.500,00",02/2020
 DANIEL ANNENBERG,INTERMEDIADO - LOCAÇÃO DE VEÍCULOS,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,"2.260,00",02/2020
 DANIEL ANNENBERG,LOCAÇÃO DE MOVEIS E EQUIPAMENTOS,ATTBRASIL TECNOLOGIA LOCAÇÃO E SOLUÇÕES EM INFORMATICA LTDA EPP,22.392.165/0001-99,"447,00",02/2020
 DANIEL ANNENBERG,LOCAÇÃO DE MOVEIS E EQUIPAMENTOS,TAMA VIDEO PRODUÇÕES LTDA-ME,57.124.901/0001-02,"4.500,00",02/2020
 DANIEL ANNENBERG,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,CENTER PAPEIS COMERCIAL LTDA.,06.226.820/0001-82,"15,90",02/2020
 DANIEL ANNENBERG,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,K2G SUPRIMENTOS DE IMPRESSÃO E INFORMATICA EIRELLI - ME,19.367.661/0001-88,"345,00",02/2020
 DANIEL ANNENBERG,ASSINATURA DE JORNAIS E REVISTAS,S.A O ESTADO DE S. PAULO,61.533.949/0001-41,"68,90",03/2020
 DANIEL ANNENBERG,COMBUSTIVEL,AUTO POSTO ITALIA LTDA,61.696.027/0001-55,"1.217,78",03/2020
 DANIEL ANNENBERG,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,TOM ARTES GRAFICAS LTDA -EPP,43.548.874/0001-90,"4.500,00",03/2020
 DANIEL ANNENBERG,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,DE SÁ COPIADOR LTDA,62.231.071/0001-52,"720,00",03/2020
 DANIEL ANNENBERG,CONTRATAÇAO DE PESSOA JURIDICA,DECAH LABORATÓRIO DE COLABORAÇÃO LTDA.,19.829.665/0001-30,"4.500,00",03/2020
 DANIEL ANNENBERG,CONTRATAÇAO DE PESSOA JURIDICA,ROSE VITALI FERREIRA DA SILVA,25.460.683/0001-90,"6.000,00",03/2020
 DANIEL ANNENBERG,INTERMEDIADO - LOCAÇÃO DE VEÍCULOS,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,"2.260,00",03/2020
 DANIEL ANNENBERG,LOCAÇÃO DE MOVEIS E EQUIPAMENTOS,ATTBRASIL TECNOLOGIA LOCAÇÃO E SOLUÇÕES EM INFORMATICA LTDA EPP,22.392.165/0001-99,"1.340,00",03/2020
 DANIEL ANNENBERG,LOCAÇÃO DE MOVEIS E EQUIPAMENTOS,TAMA VIDEO PRODUÇÕES LTDA-ME,57.124.901/0001-02,"4.500,00",03/2020
 DANIEL ANNENBERG,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,K2G SUPRIMENTOS DE IMPRESSÃO E INFORMATICA EIRELLI - ME,19.367.661/0001-88,"1.063,70",03/2020
 DANIEL ANNENBERG,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,KALUNGA COM. E IND. GRÁFICA LTDA,43.283.811/0177-10,"166,50",03/2020
 DANIEL ANNENBERG,TELEFONE MOVEL,TIM S.A,02.421.421/0006-26,"62,07",03/2020
 DANIEL ANNENBERG,ASSINATURA DE JORNAIS E REVISTAS,S.A O ESTADO DE S. PAULO,61.533.949/0001-41,"68,90",04/2020
 DANIEL ANNENBERG,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,TOM ARTES GRAFICAS LTDA -EPP,43.548.874/0001-90,"4.500,00",04/2020
 DANIEL ANNENBERG,CONTRATAÇAO DE PESSOA JURIDICA,DECAH LABORATÓRIO DE COLABORAÇÃO LTDA.,19.829.665/0001-30,"4.500,00",04/2020
 DANIEL ANNENBERG,INTERMEDIADO - LOCAÇÃO DE VEÍCULOS,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,"2.260,00",04/2020
 DANIEL ANNENBERG,LOCAÇÃO DE MOVEIS E EQUIPAMENTOS,ATTBRASIL TECNOLOGIA LOCAÇÃO E SOLUÇÕES EM INFORMATICA LTDA EPP,22.392.165/0001-99,"1.340,00",04/2020
 DANIEL ANNENBERG,LOCAÇÃO DE MOVEIS E EQUIPAMENTOS,TAMA VIDEO PRODUÇÕES LTDA-ME,57.124.901/0001-02,"4.500,00",04/2020
